lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
141,52.2367362,21.107128,16:33:50,7,7811,16:36:00,-2.1666666666666665,2106,02,Tarnowiecka
162,52.2175174,21.0375934,16:33:50,2,7842,16:19:00,14.833333333333334,7072,02,Agrykola
704,52.2236187,21.2296335,16:33:50,1,7883,16:17:00,16.833333333333332,2294,01,Fabryczna
710,52.1303866,21.078373,16:33:49,2,8327,16:29:00,4.816666666666666,3423,01,Rosnowskiego
120,52.273483,21.046392,16:33:46,3,8442,16:35:00,-1.2333333333333334,1138,02,DKS Targówek
165,52.173295,20.999645,16:33:47,4,8502,16:33:00,0.7833333333333333,3265,02,Obrzeżna
217,52.1459,21.0511617,16:33:34,3,8504,16:22:00,11.566666666666666,3142,04,Natolin Płn.
710,52.0742333,21.011325,16:33:44,4,8508,16:20:00,13.733333333333333,3464,71,Targowisko
514,52.2486433,21.2437733,16:33:38,1,8565,16:31:00,2.6333333333333333,2285,03,Wola Grzybowska
507,52.2381517,21.0561767,16:33:39,2,8570,16:31:00,2.65,2138,02,Adampolska
151,52.2349483,21.078715,16:33:41,3,8574,16:22:00,11.683333333333334,2100,04,Przyczółek Grochowski
120,52.266613,21.058493,16:33:36,5,8584,16:24:00,9.6,1054,01,Piotra Skargi
Z26,52.232005,20.9591867,16:33:42,3,8588,16:33:00,0.7,5006,01,Sokołowska
704,52.2168404,21.3100077,16:33:46,2,8837,16:31:00,2.7666666666666666,2309,02,Konik Nowy
217,52.156508,21.075848,16:33:39,4,8884,16:18:00,15.65,3385,04,Branickiego
141,52.224708,21.043296,16:33:36,5,8899,16:33:00,0.6,7076,02,Torwar
161,52.176277,21.175331,16:33:45,1,9062,16:36:00,-2.25,2170,01,Draceny
201,52.2587655,20.9349129,16:33:49,1,9226,16:32:00,1.8166666666666667,5165,02,Fort Bema
133,52.3170354,20.9524404,16:33:49,2,9252,16:35:00,-1.1833333333333333,1277,07,Tarchomin
234,52.310497,21.013987,16:33:43,1,9346,16:36:00,-2.283333333333333,1091,71,Żerań Wschodni
152,52.316929,20.952316,16:33:37,2,9416,16:30:00,3.6166666666666667,1277,07,Tarchomin
157,52.265366,20.989424,16:33:50,3,9424,16:22:00,11.833333333333334,6002,02,pl.Inwalidów
715,52.175648667,20.943493167,16:33:50,54,9512,16:20:00,13.833333333333334,4015,13,P+R Al.Krakowska
194,52.205749167,20.891581667,16:33:46,1,9513,16:17:00,16.766666666666666,4129,03,PKP Ursus Płn.
