lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
714,52.2665421,20.8093122,13:31:14,1,4246,13:29:00,2.2333333333333334,6225,02,Karabeli
147,52.216105,21.2384022,13:31:14,2,4306,13:34:00,-2.7666666666666666,2348,01,Pogodna
168,52.2215797,21.0905811,13:31:14,1,4315,13:31:00,0.23333333333333334,2313,01,Meissnera
147,52.2049006,21.1132845,13:31:15,1,4316,13:30:00,1.25,2208,02,Kanał Nowe Ujście
153,52.258852,21.1609696,13:31:15,3,4319,13:30:00,1.25,2083,01,Rembertów-Ratusz
146,52.2472657,21.0431392,13:31:14,09,4320,13:28:00,3.2333333333333334,1231,01,Metro Stadion Narodowy
146,52.235425,21.0534934,13:31:14,3,4321,13:31:00,0.23333333333333334,2153,02,Francuska
249,52.2391959,20.9488174,13:31:14,2,4331,13:29:00,2.2333333333333334,5020,04,Park Moczydło
197,52.2250665,20.9308132,13:31:14,1,4333,13:34:00,-2.7666666666666666,5011,08,Cm.Wolski
714,52.2416454,20.8853122,13:31:15,2,4334,13:30:00,1.25,5142,04,Blizne Łaszczyńskiego
156,52.274326,21.066439,13:31:12,2,4403,13:31:00,0.2,1303,02,Kraśnicka
122,52.2610424,20.9567515,13:31:14,1,4404,13:29:00,2.2333333333333334,6093,02,Powązki-Cm.Wojskowy
118,52.219116,21.01552,13:31:15,1,4405,13:17:00,14.25,7006,09,Metro Politechnika
181,52.279331,20.974028,13:31:10,3,4414,13:14:00,17.166666666666668,6137,03,Rudzka
240,52.312798,21.066238,13:31:12,1,4416,13:30:00,1.2,1557,02,Podwójna
123,52.252655,21.083755,13:31:10,1,4420,13:27:00,4.166666666666667,2121,02,Przeworska
122,52.258766,20.917679,13:31:13,10,4424,13:27:00,4.216666666666667,5214,02,Zachodzącego Słońca
187,52.1946329,20.8691772,13:31:11,4,5203,13:31:00,0.18333333333333332,4343,04,Keniga
711,52.0911412,20.8000509,13:30:57,506,5206,13:31:00,-0.05,4349,01,P+R Nadarzyn
124,52.1637996,20.9308062,13:31:09,1,5214,13:30:00,1.15,4019,01,Na Skraju
171,52.2575347,20.9194798,13:31:06,453,5219,13:29:00,2.1,5064,03,Wrocławska
177,52.208996,20.893211,13:31:09,6,5228,13:29:00,2.15,4224,05,Nowe Włochy
188,52.2285593,21.0630839,13:31:10,6,5232,13:31:00,0.16666666666666666,2097,02,Saska
105,52.2212829,20.8975824,13:31:07,6,5237,13:26:00,5.116666666666666,5045,02,Sternicza
523,52.2172792,21.005316,13:31:12,10,5242,13:27:00,4.2,7093,06,GUS
191,52.1894691,20.8853395,13:31:07,4,5243,13:31:00,0.11666666666666667,4099,01,Spisaka
184,52.2080979,20.9644704,13:31:13,6,5245,13:31:00,0.21666666666666667,4119,01,Szczęśliwice
401,52.191535,20.861398,13:31:04,7,5250,13:31:00,0.06666666666666667,4211,01,Ursus-Sanktuarium
171,52.2297876,21.0222113,13:31:11,6,5251,13:28:00,3.183333333333333,7040,03,pl.Trzech Krzyży
317,52.1679485,21.0843394,13:31:12,2,5254,13:34:00,-2.8,3044,06,Wilanów
500,52.2875832,21.0481755,13:31:13,1,5403,13:31:00,0.21666666666666667,1145,01,Żuromińska
190,52.2575425,21.0416089,13:31:09,1,5408,13:27:00,4.15,1052,02,Rzeszotarskiej
512,52.290695,21.06982,13:31:12,1,5412,13:31:00,0.2,1061,01,Codzienna
132,52.315083,21.060377,13:31:14,2,5413,13:33:00,-1.7666666666666666,1359,02,os.Derby
132,52.27198,20.968681,13:31:15,5,5414,13:28:00,3.25,6005,11,Metro Marymont
731,52.343155,20.951715,13:31:14,479,5417,13:28:00,3.2333333333333334,1025,01,Poetów
723,52.2954469,20.9973782,13:31:15,475,5431,13:28:00,3.25,1014,01,EC Żerań
245,52.286411,21.10577,13:31:12,4,5435,13:31:00,0.2,1211,01,Warszawska
190,52.286293,21.074671,13:31:11,7,5440,13:30:00,1.1833333333333333,1060,01,Młodzieńcza
112,52.273254,20.967365,13:31:14,6,5449,13:31:00,0.23333333333333334,6075,05,Park Kaskada
503,52.258511,21.002874,13:31:12,10,5883,13:18:00,13.2,7054,03,Park Traugutta
175,52.216969,20.990305,13:31:12,400,5884,13:31:00,0.2,4029,02,Pomnik Lotnika
503,52.1457889,21.0434482,13:31:13,3,5889,13:26:00,5.216666666666667,3403,02,Warchałowskiego
128,52.200272,20.978727,13:31:11,408,5891,13:29:00,2.183333333333333,4112,02,Mołdawska
175,52.242065,21.015335,13:31:13,405,5899,13:30:00,1.2166666666666666,7045,01,Hotel Bristol
116,52.230936,21.02127,13:30:59,3,5901,13:22:00,8.983333333333333,7040,04,pl.Trzech Krzyży
503,52.232532,21.019932,13:31:14,8,5902,13:28:00,3.2333333333333334,7042,01,Foksal
116,52.1747504,21.0630119,13:31:14,8,5912,13:26:00,5.233333333333333,3035,01,Nałęczowska
116,52.202473,21.034565,13:31:13,5,5929,13:32:00,-0.7833333333333333,3027,52,Dolna
180,52.261753,20.954369,13:31:10,13,5934,13:26:00,5.166666666666667,6129,01,gen.Maczka
116,52.280808,20.923872,13:31:12,14,5954,13:30:00,1.2,6026,06,Bogusławskiego
111,52.2264,21.0839,13:31:13,3,5956,13:30:00,1.2166666666666666,2145,03,Abrahama
127,52.24316,21.02051,13:31:12,7,5962,13:34:00,-2.8,7100,02,Browarna
180,52.198994,21.051451,13:31:14,6,5967,13:31:00,0.23333333333333334,3060,02,al.Witosa
111,52.222069,21.102762,13:31:13,1,5968,13:31:00,0.21666666666666667,2148,01,Gocław
180,52.256191,20.969093,13:31:14,2,5970,13:25:00,6.233333333333333,6090,02,PKP Powązki
503,52.154636,21.049412,13:31:12,5,5972,13:24:00,7.2,3122,01,Teligi
518,52.273327,20.967468,13:31:10,2,5983,13:29:00,2.1666666666666665,6075,05,Park Kaskada
116,52.200844,21.036062,13:31:14,9,5986,13:26:00,5.233333333333333,3027,01,Dolna
