lines,latitude,longitude,time,brigade,vehicle_number
525,52.21743,21.01679,16:32:49,1,2027
709,52.077518,21.025791,16:32:52,429,2028
217,52.165016,21.069633,16:32:51,2,2029
522,52.158091,21.0753176,16:32:48,013,2030
189,52.1857684,20.9714029,16:32:52,14,2031
172,52.200941,20.984811,16:32:46,3,2032
522,52.221317,21.015625,16:32:48,010,2034
401,52.195076,20.884327,16:32:49,012,2037
189,52.180192,20.9926572,16:32:50,021,2038
501,52.177823,21.04905,16:32:36,2,2039
401,52.19453,20.909895,16:32:52,022,2040
189,52.180336,21.05378,16:32:50,12,2041
522,52.160896,21.071823,16:32:51,7,2044
174,52.196205,21.01347,16:32:50,08,2045
522,52.202141,21.034853,16:32:48,09,2046
719,52.2394532,20.8977134,16:32:49,2,2200
105,52.2296882,20.9800104,16:32:52,4,2201
317,52.183437,20.964531,16:32:51,2,2202
716,52.220375,20.91823,16:32:49,067,2203
184,52.288654,20.934933,16:32:49,6,2205
171,52.268787,20.93248,16:32:48,452,2206
177,52.224876,20.897274,16:32:47,3,2208
191,52.219135,20.983437,16:32:50,6,2209
517,52.219532,20.983719,16:32:52,5,2210
105,52.2193339,20.9128096,16:32:51,010,2211
136,52.2477092,20.9652852,16:32:50,015,2212
105,52.226345,20.897161,16:32:51,09,2216
148,52.1562349,20.9987432,16:32:49,012,2217
124,52.156658,20.950623,16:32:51,2,2218
523,52.239159,20.915012,16:32:46,7,2219
177,52.199997,20.874186,16:32:52,07,2220
717,52.174042,20.858057,16:32:47,64,2221
517,52.200836,20.935268,16:32:52,4,2223
177,52.197315,20.867624,16:32:50,675,2224
188,52.21645,20.990278,16:32:51,5,2225
105,52.238949,20.900829,16:32:51,08,2226
ZA1,52.2253796,20.9901867,16:32:48,01,2227
172,52.178173,21.048288,16:32:49,5,2228
172,52.211514,20.975765,16:32:51,2,2229
517,52.192898,20.908674,16:32:52,3,2230
717,52.197486,20.9194196,16:32:51,65,2231
184,52.268917,20.932945,16:32:51,7,2232
523,52.196758,20.920708,16:32:47,017,2233
187,52.2161129,20.9827847,16:32:51,6,2234
317,52.196545,20.920898,16:32:50,06,2235
136,52.148148,21.04273,16:32:46,5,2236
187,52.1814387,21.0690134,16:32:51,9,2238
105,52.228077,20.960972,16:32:48,012,2239
523,52.255253,20.90563,16:32:47,023,2240
716,52.198677,20.872393,16:32:49,01,2241
317,52.1752892,20.9993129,16:32:51,07,2242
187,52.216423,20.960342,16:32:44,5,2243
184,52.2287532,20.951099,16:32:52,1,2244
743,52.2389724,20.9083735,16:32:49,1,2246
184,52.2181834,20.9672131,16:32:51,09,2247
105,52.2388962,20.8962686,16:32:47,7,2248
177,52.228271,20.904587,16:32:52,6,2249
523,52.238609,20.950592,16:32:50,10,2250
401,52.19627,20.911098,16:32:50,010,2251
401,52.191864,20.949413,16:32:50,1,2252
186,52.2146154,20.9667977,16:32:42,015,2253
401,52.190224,20.862576,16:32:50,013,2254
105,52.2288289,20.9683531,16:32:52,3,2255
105,52.216301,20.897493,16:32:52,6,2256
ZA1,52.168381,21.084518,16:32:50,01,2257
401,52.1937462,20.9093809,16:32:52,4,2258
187,52.2086351,21.0479227,16:32:50,10,2259
L20,52.1117225,21.385364,16:32:52,1,25183
L22,52.1740903,21.2925146,16:32:48,2,25184
L51,52.0990268,21.2686988,16:32:52,02,25188
L22,52.098959,21.2694096,16:32:52,03,25189
414,52.266946,20.9588613,16:32:49,09,3400
511,52.291257,20.9283708,16:32:50,2,3401
190,52.3050778,21.0851593,16:32:49,8,3402
Z26,52.2241028,20.9324421,16:32:51,2,3403
132,52.3154365,21.060176,16:32:50,3,3404
527,52.2982496,21.0566251,16:32:49,013,3405
731,52.2935075,20.9996181,16:32:51,479,3406
160,52.2911376,21.0508138,16:32:48,514,3407
509,52.302843,20.9897431,16:32:50,13,3408
197,52.2812195,20.9591431,16:32:49,010,3409
112,52.295325,21.0422183,16:32:51,7,3410
199,52.2922766,21.0577411,16:32:50,05,3411
160,52.267051,21.0589335,16:32:49,519,3412
511,52.2651316,21.046095,16:32:46,1,3413
Z26,52.2338036,20.9676381,16:32:49,04,3415
340,52.2733983,21.0617506,16:32:50,03,3416
723,52.3422603,20.9531543,16:32:35,01,3417
120,52.25268,21.0511625,16:32:48,6,3418
Z26,52.2235751,20.9310916,16:32:47,1,3419
112,52.3071633,21.0597633,16:32:50,5,3420
340,52.2970295,21.0835611,16:32:46,04,3421
738,52.3008358,21.0870111,16:32:49,4,3422
735,52.3197685,21.0222155,16:32:49,62,3424
414,52.2943305,21.0164008,16:32:42,06,3425
738,52.4172777,21.181321,16:32:48,3,3426
140,52.2755666,21.0547441,16:32:50,2,3427
731,52.394353,20.9296308,16:32:47,499,3428
102,52.2473793,21.1010978,16:32:47,547,3429
190,52.2383,20.9811933,16:32:46,1,3430
527,52.2990611,21.057066,16:32:47,515,3431
509,52.2258566,21.0865631,16:32:52,8,3432
511,52.3314608,20.9653815,16:32:49,3,3433
127,52.231388,21.018358,16:32:52,8,3434
140,52.3082731,21.0928688,16:32:49,3,3435
735,52.4537728,21.0117106,16:32:46,65,3436
162,52.1904553,21.0813145,16:32:51,3,3437
120,52.2513238,21.0393396,16:32:46,4,3439
190,52.2372388,20.9657253,16:32:49,12,3441
527,52.322042,21.0570041,16:32:52,517,3442
245,52.2808766,21.1312128,16:32:49,05,3443
509,52.3332485,20.9415301,16:32:52,1,3444
503,52.2651921,21.0450678,16:32:48,014,3445
145,52.2440398,21.0948783,16:32:50,10,3447
527,52.3224638,21.0572125,16:32:45,516,3448
509,52.2534603,21.0361506,16:32:48,4,3449
518,52.308374,20.983418,16:32:50,012,3450
527,52.3218073,21.056889,16:32:48,010,3452
518,52.324138,20.9380805,16:32:51,011,3453
738,52.4171126,21.1816736,16:32:51,2,3454
520,52.2362525,21.0861674,16:32:48,2,3456
245,52.2861872,21.0989165,16:32:49,1,3457
162,52.2312258,21.0302906,16:32:51,6,3458
520,52.2412668,21.135141,16:32:48,5,3459
527,52.304774,21.05988,16:32:49,716,3460
731,52.3042733,20.9885341,16:32:46,476,3461
145,52.2863008,21.0913153,16:32:51,2,3462
705,52.3656765,21.028354,16:32:49,07,3464
132,52.3142115,21.0668313,16:32:49,07,3465
132,52.2851953,20.990996,16:32:51,5,3466
116,52.238665,21.0178635,16:32:52,10,3467
138,52.1803873,21.0023798,16:32:51,8,3468
138,52.2605188,21.1004163,16:32:48,3,3469
L-5,52.056246,20.9833118,16:32:51,2,35131
L-2,52.0667143,21.0213506,16:32:49,683,35132
L25,52.0583668,21.0482501,16:32:30,1,35136
L12,52.0076653,20.8963266,16:32:48,782,35138
L39,52.0993893,21.0333035,16:32:35,3,35139
L-5,52.0532286,20.9859178,16:32:42,1,35140
L13,52.0317471,21.0202968,16:32:49,03,35155
L13,52.0750761,21.0236556,16:32:50,04,35159
178,52.22945,20.98069,16:32:49,6,4200
207,52.187168,20.896885,16:32:51,3,4201
197,52.264206,20.945307,16:32:52,4,4203
122,52.196903,20.920353,16:32:50,7,4204
122,52.21978,20.916544,16:32:45,7,4205
714,52.239716,20.894249,16:32:48,04,4206
154,52.17551,20.945097,16:32:50,06,4207
129,52.234097,20.933104,16:32:50,1,4208
149,52.249474,20.868397,16:32:50,04,4209
